,lat,lng,Temp,Humidity,Cloudiness,Wind_Speed,City,Country
647,-34.5833,150.8552,50.58,89.0,11.0,1.01,flinders,au
648,48.3833,-4.6167,47.01,76.0,0.0,18.41,plouzane,fr
652,-32.035,-52.0986,66.88,43.0,40.0,16.11,rio grande,br
653,55.3422,-131.6461,59.0,33.0,1.0,10.36,ketchikan,us
655,20.15,92.9,81.16,80.0,8.0,4.27,akyab,mm
656,-22.1333,48.0167,70.25,95.0,56.0,4.38,manakara,mg
661,45.4612,8.0137,61.63,69.0,100.0,2.62,bose,cn
664,9.49,76.3264,80.91,83.0,74.0,4.79,alappuzha,in
666,49.1667,-57.4316,48.11,43.0,1.0,8.05,deer lake,ca
669,22.7583,121.1444,70.68,84.0,100.0,7.54,taitung,tw
671,26.9333,-105.4,87.69,4.0,89.0,4.12,valle de allende,mx
673,30.4362,61.8383,77.54,19.0,14.0,11.63,mirabad,af
674,1.7427,98.7792,76.01,83.0,58.0,3.29,sibolga,id
677,13.2154,18.3353,89.15,14.0,97.0,7.11,ati,td
681,6.8708,-10.8172,76.98,90.0,93.0,2.8,tubmanburg,lr
682,-15.4311,-74.6158,73.33,73.0,37.0,6.58,acari,pe
684,54.7682,-101.865,42.8,33.0,90.0,10.36,flin flon,ca
685,40.5982,-124.1573,54.12,82.0,75.0,9.22,fortuna,us
688,59.5833,151.2833,19.11,64.0,41.0,6.98,ola,ru
694,-30.3,153.1333,55.24,94.0,3.0,7.11,coffs harbour,au
695,27.1467,57.0801,75.2,64.0,0.0,4.61,minab,ir
696,-2.5744,150.7967,82.2,74.0,100.0,3.06,kavieng,pg
700,-8.2578,-49.2647,77.0,83.0,0.0,3.44,conceicao do araguaia,br
702,-26.6481,15.1594,61.95,88.0,94.0,1.63,luderitz,na
710,32.9926,47.4198,74.7,23.0,96.0,7.65,abdanan,ir
713,56.6178,25.7255,32.61,95.0,97.0,6.71,plavinas,lv
715,78.2186,15.6401,19.4,58.0,40.0,11.5,longyearbyen,sj
716,-5.5502,150.1429,77.49,88.0,95.0,0.89,kimbe,pg
723,20.5169,-13.0499,81.52,17.0,0.0,4.54,atar,mr
725,-2.0226,147.2712,81.3,78.0,63.0,5.21,lorengau,pg
726,48.4001,-89.3168,42.8,33.0,20.0,13.8,thunder bay,ca
729,26.5921,12.7805,76.33,25.0,0.0,10.69,awbari,ly
730,-39.4556,173.8583,53.55,84.0,90.0,3.0,opunake,nz
731,37.0286,-7.8411,62.6,94.0,20.0,5.75,olhao,pt
739,39.3114,8.535,59.72,67.0,0.0,11.5,iglesias,it
748,38.2689,140.8719,44.6,45.0,20.0,13.8,sendai,jp
751,-28.6606,-56.0044,62.78,57.0,3.0,9.8,sao borja,br
753,29.1925,72.8536,85.73,13.0,0.0,8.39,fort abbas,pk
754,59.4511,112.5578,32.79,94.0,100.0,11.27,vitim,ru
756,-9.3986,-40.5008,84.2,65.0,0.0,3.44,petrolina,br
759,41.1875,61.4036,68.52,18.0,0.0,15.84,gazojak,tm
765,20.8947,-156.47,75.52,61.0,40.0,24.16,kahului,us
766,15.1603,33.1397,92.79,14.0,6.0,8.01,wad rawah,sd
777,56.45,138.1667,26.96,77.0,40.0,2.21,ayan,ru
778,63.8424,-22.4338,41.0,87.0,0.0,14.97,grindavik,is
780,52.1352,113.4974,44.6,53.0,40.0,6.71,smolenka,ru
782,-22.2687,28.7495,68.88,24.0,0.0,6.08,mathathane,bw
784,-0.7193,8.7815,82.4,78.0,20.0,4.61,port-gentil,ga
795,36.1156,-97.0584,77.68,41.0,1.0,20.71,stillwater,us
796,48.282,37.1758,43.32,44.0,100.0,5.86,pokrovsk,ru
797,66.0449,-17.3389,37.4,93.0,90.0,13.8,husavik,is
800,40.854,-74.8291,59.41,51.0,76.0,3.44,hackettstown,us
803,-31.95,141.4333,48.2,71.0,0.0,5.95,broken hill,au
804,39.9526,-74.9924,64.11,45.0,90.0,12.66,maple shade,us
817,-31.393,-58.0209,64.71,63.0,40.0,9.22,concordia,mx
819,28.017,-97.5169,84.36,45.0,1.0,17.27,san patricio,mx
822,39.6367,141.9525,43.23,55.0,15.0,14.88,miyako,jp
824,34.7667,32.4167,59.0,63.0,0.0,6.91,pafos,cy
834,12.2175,4.3792,94.32,28.0,100.0,6.91,jega,ng
836,-23.35,47.6,70.11,91.0,13.0,1.32,vangaindrano,mg
